country,points,price,province,region_1,taster_name,title,variety,winery
Italy,86,17,Veneto,Valpolicella Classico Superiore Ripasso,Kerin O’Keefe,Cantina Valpolicella Negrar 2011 Vigneti di Torbi  (Valpolicella Classico Superiore Ripasso),Red Blend,Cantina Valpolicella Negrar
US,90,35,California,Santa Lucia Highlands,NA,Hahn 2010 SLH Estate Pinot Noir (Santa Lucia Highlands),Pinot Noir,Hahn
France,89,53,Bordeaux,Pessac-Léognan,Roger Voss,Château le Pape 2008 L'Excellence  (Pessac-Léognan),Bordeaux-style Red Blend,Château le Pape
Portugal,94,78,Douro,NA,Roger Voss,Quinta do Noval 2013 Touriga Nacional (Douro),Touriga Nacional,Quinta do Noval
Italy,85,28,Tuscany,Toscana,NA,Lucente 1999 Sangiovese (Toscana),Sangiovese,Lucente
US,86,45,California,Santa Ynez Valley,NA,Millésimé 2007 Scoprire Red (Santa Ynez Valley),Red Blend,Millésimé
Italy,88,50,Veneto,Amarone della Valpolicella Classico,Kerin O’Keefe,Secondo Marco 2008  Amarone della Valpolicella Classico,Red Blend,Secondo Marco
Spain,88,36,Northern Spain,Cariñena,Michael Schachner,Grandes Vinos y Viñedos 2006 Anayón de Corona de Aragón Barrica Red (Cariñena),Red Blend,Grandes Vinos y Viñedos
Chile,83,9,Bío Bío Valley,NA,Michael Schachner,Agustinos 2013 Reserva Pinot Noir (Bío Bío Valley),Pinot Noir,Agustinos
Italy,92,60,Tuscany,Brunello di Montalcino,NA,Il Valentiano 2006 Campo di Marzo  (Brunello di Montalcino),Sangiovese Grosso,Il Valentiano
Italy,86,13,Sicily & Sardinia,Sicilia,NA,Feudo di Santa Tresa 2006 Nìvuro Red (Sicilia),Red Blend,Feudo di Santa Tresa
France,87,20,Bordeaux,Bordeaux Blanc,Roger Voss,Château Roc Meynard 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château Roc Meynard
US,88,28,Oregon,Willamette Valley,Paul Gregutt,Alchemist 2011 Pinot Noir (Willamette Valley),Pinot Noir,Alchemist
France,86,15,France Other,Vin de Savoie,Roger Voss,Philippe Viallet 2016 Savoie Rosé (Vin de Savoie),Rosé,Philippe Viallet
Portugal,85,11,Península de Setúbal,NA,Roger Voss,Wines & Winemakers 2016 Azul Portugal Rosé (Península de Setúbal),Rosé,Wines & Winemakers
US,88,15,Oregon,Umpqua Valley,Paul Gregutt,Henry Estate 2016 Müller-Thurgau (Umpqua Valley),Müller-Thurgau,Henry Estate
Portugal,85,10,Tejo,NA,Roger Voss,Quinta Vale do Armo 2011 Valle Zangão Red (Tejo),Portuguese Red,Quinta Vale do Armo
US,91,55,Oregon,Willamette Valley,Paul Gregutt,Lenné Estate 2012 Jill's 115 Pinot Noir,Pinot Noir,Lenné Estate
US,85,14,Oregon,Willamette Valley,Paul Gregutt,Kramer 2013 Müller-Thurgau,Müller-Thurgau,Kramer
US,90,40,California,Adelaida District,Matt Kettmann,Bella Luna 2013 Bailey Ranch Riserva Zinfandel (Adelaida District),Zinfandel,Bella Luna
US,96,105,California,Yountville,NA,Laird 2010 Flat Rock Ranch Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Laird
France,85,25,Alsace,Alsace,Lauren Buzzeo,Abarbanel 2006 Estate Bottled Kosher Gewurztraminer (Alsace),Gewürztraminer,Abarbanel
Italy,87,17,Veneto,Conegliano Valdobbiadene Prosecco Superiore,Kerin O’Keefe,Raphael Dal Bo NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Raphael Dal Bo
Portugal,86,10,Bairrada,NA,Roger Voss,Dão Sul 2014 Quinta do Encontro Q do E Bical (Bairrada),Bical,Dão Sul
France,90,NA,Bordeaux,Saint-Émilion,Roger Voss,Château Lassègue 2006 Barrel sample  (Saint-Émilion),Bordeaux-style Red Blend,Château Lassègue
US,83,8,California,California,NA,Redwood Creek 2010 Cabernet Sauvignon (California),Cabernet Sauvignon,Redwood Creek
US,93,45,California,Mount Veeder,NA,Chandon 2006 Brut Sparkling (Mount Veeder),Sparkling Blend,Chandon
US,91,35,Oregon,Willamette Valley,Paul Gregutt,Youngberg Hill Vineyards 2014 Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Youngberg Hill Vineyards
France,88,18,Alsace,Alsace,Anne Krebiehl MW,Sipp Mack 2014 Tradition Riesling (Alsace),Riesling,Sipp Mack
Spain,89,35,Galicia,Ribeiro,Michael Schachner,Coto de Gomariz 2009 Colleita Seleccionada White (Ribeiro),White Blend,Coto de Gomariz
France,90,NA,France Other,Vin de Table Francais,Roger Voss,Domaine des Baumard 2012 Vert de l'Or Verdelho (Vin de Table Francais),Verdelho,Domaine des Baumard
France,86,13,Southwest France,Cahors,Roger Voss,Château Lagrézette 2009 Purple Malbec (Cahors),Malbec,Château Lagrézette
France,89,20,Southwest France,Bergerac,Roger Voss,Château la Rayre 2009 Premier Vin Red (Bergerac),Bordeaux-style Red Blend,Château la Rayre
Italy,89,12,Southern Italy,Salento,NA,Feudi di San Marzano 2009 F Negroamaro (Salento),Negroamaro,Feudi di San Marzano
Germany,93,50,Ahr,NA,Anna Lee C. Iijima,Meyer-Näkel 2013 Blauschiefer Spätburgunder (Ahr),Spätburgunder,Meyer-Näkel
Italy,89,56,Tuscany,Toscana,Kerin O’Keefe,Tenuta San Guido 2014 Guidalberto Red (Toscana),Red Blend,Tenuta San Guido
US,87,35,California,Sonoma County,NA,Owl Ridge 2007 Brigden Vineyard Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Owl Ridge
France,89,45,Alsace,Alsace,Anne Krebiehl MW,Domaine Bernhard & Reibel 2013 Rittersberg Riesling (Alsace),Riesling,Domaine Bernhard & Reibel
France,89,55,Burgundy,Marsannay,Roger Voss,Domaine Huguenot 2014 Champ Perdrix  (Marsannay),Pinot Noir,Domaine Huguenot
US,89,18,California,Lake County,Jim Gordon,Dancing Crow 2015 Sauvignon Blanc (Lake County),Sauvignon Blanc,Dancing Crow
New Zealand,85,17,Marlborough,NA,Joe Czerwinski,Brancott 2009 Reserve Sauvignon Blanc (Marlborough),Sauvignon Blanc,Brancott
Italy,95,120,Tuscany,Brunello di Montalcino,NA,Siro Pacenti 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Siro Pacenti
US,83,25,Virginia,Monticello,Alexander Peartree,Grace Estate 2013 Estate Grown Cabernet Franc (Monticello),Cabernet Franc,Grace Estate
Italy,89,35,Tuscany,Toscana,NA,Tenuta di Ghizzano 2003 Veneroso Red (Toscana),Red Blend,Tenuta di Ghizzano
US,89,48,California,Napa Valley,NA,Venge 2009 Silencieux Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Venge
US,84,18,California,Russian River Valley,NA,Hook & Ladder 2007 Estate Bottled Chardonnay (Russian River Valley),Chardonnay,Hook & Ladder
US,87,36,California,Carneros,NA,Mayro-Murdick 2006 Pinot Noir (Carneros),Pinot Noir,Mayro-Murdick
Italy,86,NA,Piedmont,Roero,NA,Cantina del Nebbiolo 2007  Roero,Nebbiolo,Cantina del Nebbiolo
Germany,89,22,Pfalz,NA,NA,Fitz-Ritter 2008 Spätlese Gewürztraminer (Pfalz),Gewürztraminer,Fitz-Ritter
US,91,50,Washington,Red Mountain,Sean P. Sullivan,Guardian 2012 The Rookie Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Guardian
US,86,50,California,Alexander Valley,NA,Clos du Bois 2009 Marlstone Red (Alexander Valley),Bordeaux-style Red Blend,Clos du Bois
US,80,24,California,Contra Costa County,NA,Bloomfield 2008 Chardonnay (Contra Costa County),Chardonnay,Bloomfield
US,91,23,California,Russian River Valley,Virginie Boone,Dutton Estate 2013 Cohen Vineyard Dutton Ranch Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Dutton Estate
US,86,24,Washington,Washington,Sean P. Sullivan,Voila! 2013 Syrah (Washington),Syrah,Voila!
Italy,94,75,Tuscany,Brunello di Montalcino,NA,Collosorbo 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Collosorbo
Turkey,92,35,Elazığ,NA,Mike DeSimone,Kayra 2011 Vintage Single Vineyard Collectible Series #5 Öküzgözü (Elazığ),Okuzgozu,Kayra
Argentina,92,28,Mendoza Province,Mendoza,Michael Schachner,Bodega Rolland 2011 Mariflor Michel Rolland Malbec (Mendoza),Malbec,Bodega Rolland
US,83,19,California,California,Jim Gordon,One Hope 2013 Sauvignon Blanc (California),Sauvignon Blanc,One Hope
Portugal,84,12,Tejo,NA,Roger Voss,Quinta da Lagoalva de Cima 2015 Espirito Lagoalva Red (Tejo),Portuguese Red,Quinta da Lagoalva de Cima
Spain,92,28,Northern Spain,Rioja,Michael Schachner,Marqués de Murrieta 2012 Finca Ygay Reserva  (Rioja),Tempranillo Blend,Marqués de Murrieta
US,86,12,Washington,Columbia Valley (WA),Sean P. Sullivan,Firebrix 2013 Vineyard Selection The Fresh Market Merlot (Columbia Valley (WA)),Merlot,Firebrix
France,86,16,Southwest France,Cahors,Roger Voss,Château d'Ourbenac 2005 Malbec (Cahors),Malbec,Château d'Ourbenac
Chile,81,9,Maipo Valley,NA,Michael Schachner,Santa Alicia 2008 Reserva Carmenère (Maipo Valley),Carmenère,Santa Alicia
Canada,90,30,British Columbia,Okanagan Valley,Paul Gregutt,Mission Hill 2012 Southern Cross Sauvignon Blanc (Okanagan Valley),Sauvignon Blanc,Mission Hill
Italy,90,21,Central Italy,Verdicchio dei Castelli di Jesi Classico,Kerin O’Keefe,Andrea Felici 2012  Verdicchio dei Castelli di Jesi Classico,Verdicchio,Andrea Felici
Spain,80,10,Northern Spain,Rioja,NA,J. Garcia Carrion 1997 Antaño Crianza  (Rioja),Red Blend,J. Garcia Carrion
Italy,93,35,Tuscany,Toscana,NA,Pratesi 2005 Carmione Red (Toscana),Red Blend,Pratesi
Italy,85,23,Piedmont,Brachetto d'Acqui,NA,La Gironda di Galandrino 2011  Brachetto d'Acqui,Brachetto,La Gironda di Galandrino
US,85,22,California,Shenandoah Valley (CA),Virginie Boone,Villa Toscano 2010 Barbera (Shenandoah Valley (CA)),Barbera,Villa Toscano
Uruguay,82,10,Juanico,NA,Michael Schachner,Pueblo del Sol 2013 Tannat (Juanico),Tannat,Pueblo del Sol
US,84,25,Washington,Red Mountain,Paul Gregutt,Page Cellars 2008 The Norseman Red (Red Mountain),Red Blend,Page Cellars
Italy,89,30,Southern Italy,Greco di Tufo,Kerin O’Keefe,Di Meo 2012  Greco di Tufo,Greco,Di Meo
Italy,88,20,Tuscany,Chianti Classico,NA,Barone Ricasoli 2010 Brolio  (Chianti Classico),Sangiovese,Barone Ricasoli
US,91,35,California,Carneros,NA,Truchard 2006 Cabernet Sauvignon (Carneros),Cabernet Sauvignon,Truchard
Italy,91,66,Piedmont,Barolo,Kerin O’Keefe,Mario Gagliasso 2008 Rocche dell'Annunziata  (Barolo),Nebbiolo,Mario Gagliasso
Spain,89,22,Catalonia,Priorat,Michael Schachner,Finca Tobella 2009 Negre Red (Priorat),Red Blend,Finca Tobella
US,86,15,Michigan,Michigan,Alexander Peartree,St. Julian 2013 Braganini Reserve Riesling (Michigan),Riesling,St. Julian
Spain,83,17,Northern Spain,Valdeorras,Michael Schachner,Don Bernardino 2013 Godello (Valdeorras),Godello,Don Bernardino
Italy,89,29,Southern Italy,Primitivo di Manduria,Kerin O’Keefe,Masseria Altemura 2012 Altemura  (Primitivo di Manduria),Primitivo,Masseria Altemura
France,88,25,Southwest France,Côtes de Gascogne,Roger Voss,Domaine Guillaman 2010 Les Hauts de Guillaman Merlot (Côtes de Gascogne),Merlot,Domaine Guillaman
Austria,91,27,Burgenland,NA,Roger Voss,Höpler 2011 Cuvée K7 Red (Burgenland),Red Blend,Höpler
US,91,20,Washington,Horse Heaven Hills,Paul Gregutt,Thurston Wolfe 2009 Zephyr Ridge Vineyard Petite Sirah (Horse Heaven Hills),Petite Sirah,Thurston Wolfe
France,94,103,Burgundy,Meursault,Roger Voss,Louis Jadot 2014 Meursault Charmes Premier Cru  (Meursault),Chardonnay,Louis Jadot
Italy,88,22,Sicily & Sardinia,Terre Siciliane,Kerin O’Keefe,Tonnino 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Tonnino
Italy,87,NA,Tuscany,Chianti Colli Senesi,NA,Tenuta di Trecciano 2006 Terra Rossa Riserva  (Chianti Colli Senesi),Sangiovese,Tenuta di Trecciano
Portugal,85,21,Douro,NA,Roger Voss,Kopke 2013 Reserva Red (Douro),Portuguese Red,Kopke
France,92,38,Loire Valley,Pouilly-Fumé,Roger Voss,Henri Bourgeois 2008 La Demoiselle de Bourgeois  (Pouilly-Fumé),Sauvignon Blanc,Henri Bourgeois
Italy,89,NA,Southern Italy,Aglianico del Vulture,NA,Lucania 2007 Grifalco  (Aglianico del Vulture),Aglianico,Lucania
Austria,89,30,Kamptal,NA,Roger Voss,Laurenz V. 2011 Charming Grüner Veltliner (Kamptal),Grüner Veltliner,Laurenz V.
US,85,30,California,Sonoma Coast,NA,Keller Estate 2010 La Cruz Vineyard Pinot Gris (Sonoma Coast),Pinot Gris,Keller Estate
Argentina,88,50,Mendoza Province,Mendoza,NA,Achaval-Ferrer 2008 Quimera Red (Mendoza),Red Blend,Achaval-Ferrer
Austria,93,59,Burgenland,NA,Anne Krebiehl MW,Hillinger 2013 Terroir Pinot Noir (Burgenland),Pinot Noir,Hillinger
Argentina,89,15,Mendoza Province,Mendoza,Michael Schachner,Caligiore 2014 Single Organic Vineyard Bonarda (Mendoza),Bonarda,Caligiore
Italy,92,75,Lombardy,Franciacorta,Kerin O’Keefe,Ca' del Bosco 2009 Vintage Collection Dosage Zero Sparkling (Franciacorta),Sparkling Blend,Ca' del Bosco
Spain,87,20,Northern Spain,Rioja,Michael Schachner,Bodegas Bilbainas 2005 Viña Pomal Reserva  (Rioja),Tempranillo,Bodegas Bilbainas
Australia,89,19,Victoria,Yarra Valley,Joe Czerwinski,Coldstream Hills 2006 Chardonnay (Yarra Valley),Chardonnay,Coldstream Hills
France,88,10,Bordeaux,Bordeaux Blanc,Roger Voss,Vignobles Bonhur 2015 Château Terres Douces  (Bordeaux Blanc),Bordeaux-style White Blend,Vignobles Bonhur
Portugal,91,25,Minho,NA,Roger Voss,Quinta da Soalheiro 2014 Terramatter Alvarinho (Minho),Alvarinho,Quinta da Soalheiro
Italy,94,130,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Banfi 2010 Poggio all'Oro Riserva  (Brunello di Montalcino),Sangiovese,Banfi
US,92,45,Washington,Columbia Valley (WA),Sean P. Sullivan,Columbia Crest 2013 Reserve Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Columbia Crest
France,92,20,Loire Valley,Bourgueil,Roger Voss,Domaine les Pins 2014 Cuvée les Rochettes Cabernet Franc (Bourgueil),Cabernet Franc,Domaine les Pins
US,89,26,California,California,Jim Gordon,Prima Materia 2013 Cabernet Franc (California),Cabernet Franc,Prima Materia
US,85,13,California,California,Virginie Boone,Villa Toscano 2011 Pinot Grigio (California),Pinot Grigio,Villa Toscano
US,92,42,California,Santa Lucia Highlands,Matt Kettmann,Talbott 2014 Sarah Case Sleepy Hollow Vineyard Estate Grown Chardonnay (Santa Lucia Highlands),Chardonnay,Talbott
US,87,45,California,Oak Knoll District,NA,Domaine Georg Rafael Vineyards 2006 Cabernet Sauvignon (Oak Knoll District),Cabernet Sauvignon,Domaine Georg Rafael Vineyards
US,87,22,California,Napa Valley,Virginie Boone,Cairdean Estate 2012 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Cairdean Estate
Argentina,82,8,Mendoza Province,Mendoza,Michael Schachner,Aitor Ider Balbo 2006 El Encanto Cabernet Sauvignon-Malbec (Mendoza),Cabernet Sauvignon-Malbec,Aitor Ider Balbo
Australia,88,30,Western Australia,Margaret River,Joe Czerwinski,Evans & Tate 2004 The Reserve Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Evans & Tate
Italy,86,NA,Tuscany,Rosso di Montalcino,NA,Tenuta Friggiali 2008  Rosso di Montalcino,Sangiovese Grosso,Tenuta Friggiali
Portugal,94,25,Alentejano,NA,Roger Voss,Luis Duarte 2010 Rubrica Red (Alentejano),Portuguese Red,Luis Duarte
Italy,86,NA,Piedmont,Barbera d'Asti,NA,Dogliotti 1870 2008  Barbera d'Asti,Barbera,Dogliotti 1870
France,89,25,Loire Valley,Pouilly-Fumé,Roger Voss,Domaine Cédrick Bardin 2014 Les Bernadats  (Pouilly-Fumé),Sauvignon Blanc,Domaine Cédrick Bardin
US,92,40,California,Paso Robles,Matt Kettmann,Niner 2013 Estate Grown Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Niner
Italy,83,12,Piedmont,Piedmont,NA,Tosti NV Rosato Moscato (Piedmont),Moscato,Tosti
Italy,87,10,Southern Italy,Puglia,Kerin O’Keefe,Torrevento 2012 Torre del Falco Uva di Troia (Puglia),Uva di Troia,Torrevento
France,85,14,Bordeaux,Bordeaux,Roger Voss,Château Puy Marceau 2014  Bordeaux,Bordeaux-style Red Blend,Château Puy Marceau
Chile,86,14,Colchagua Valley,NA,Michael Schachner,Casa Silva 2010 Reserva Syrah (Colchagua Valley),Syrah,Casa Silva
France,86,NA,Bordeaux,Médoc,Roger Voss,Château de Tourteyron 2013  Médoc,Bordeaux-style Red Blend,Château de Tourteyron
US,91,48,California,Alexander Valley,Virginie Boone,Armida 2013 Stuhlmuller Vineyard Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Armida
Austria,85,32,Niederösterreich,NA,Roger Voss,Setzer 2007 Riesling (Niederösterreich),Riesling,Setzer
US,86,50,Oregon,Applegate Valley,Paul Gregutt,Troon 2014 Reserve Syrah (Applegate Valley),Syrah,Troon
Italy,87,NA,Piedmont,Barbaresco,Kerin O’Keefe,Taliano 2011 Ad Altiora  (Barbaresco),Nebbiolo,Taliano
US,92,30,Washington,Red Mountain,Sean P. Sullivan,Fall Line 2011 Artz Vineyard Red (Red Mountain),Bordeaux-style Red Blend,Fall Line
Austria,94,29,Wachau,NA,Anne Krebiehl MW,Emmerich Knoll 2014 Loibner Federspiel Riesling (Wachau),Riesling,Emmerich Knoll
France,88,NA,Bordeaux,Graves,Roger Voss,Château Ferrande 2010 Barrel sample  (Graves),Bordeaux-style White Blend,Château Ferrande
US,94,28,Washington,Columbia Valley (WA),Paul Gregutt,Kevin White 2012 En Hommage G-S-M (Columbia Valley (WA)),G-S-M,Kevin White
Argentina,90,167,Mendoza Province,Mendoza,Michael Schachner,Finca Flichman 2008 Parcela 26 Limited Edition Malbec (Mendoza),Malbec,Finca Flichman
Italy,93,100,Piedmont,Barolo,Kerin O’Keefe,Paolo Scavino 2011 Cannubi  (Barolo),Nebbiolo,Paolo Scavino
France,87,25,Alsace,Alsace,Anne Krebiehl MW,Domaine Mersiol 2015 Gewurztraminer (Alsace),Gewürztraminer,Domaine Mersiol
US,88,35,California,Santa Ynez Valley,NA,Qupé 2008 Purisima Mountain Vineyard Syrah (Santa Ynez Valley),Syrah,Qupé
US,94,90,California,Napa Valley,NA,Sequoia Grove 2008 Stagecoach Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequoia Grove
US,86,16,Washington,Columbia Valley (WA),Paul Gregutt,Hogue 2008 Genesis Syrah (Columbia Valley (WA)),Syrah,Hogue
Austria,90,30,Wachau,NA,Anne Krebiehl MW,Domäne Wachau 2013 Terrrassen Beerenauslese White (Wachau),White Blend,Domäne Wachau
US,87,30,California,Paso Robles,NA,Le Vigne di Domenico 2007 Petite Sirah (Paso Robles),Petite Sirah,Le Vigne di Domenico
Italy,88,NA,Tuscany,Toscana,NA,Il Borro 2006 Pian di Nova Red (Toscana),Red Blend,Il Borro
US,87,24,California,Russian River Valley,NA,Balletto 2009 Estate Bottled Chardonnay (Russian River Valley),Chardonnay,Balletto
France,84,14,Burgundy,Hautes Côtes de Nuits,Roger Voss,Manuel Olivier 2008  Hautes Côtes de Nuits,Pinot Noir,Manuel Olivier
US,83,12,California,Santa Barbara County,NA,Big House 2007 The Slammer Syrah (Santa Barbara County),Syrah,Big House
France,87,17,Provence,Côtes de Provence,Roger Voss,Château de la Galinière 2013 Le Cengle Vieilles Vignes Rosé (Côtes de Provence),Rosé,Château de la Galinière
US,92,18,California,Carneros,NA,Schug 1998 Pinot Noir (Carneros),Pinot Noir,Schug
US,93,34,Oregon,Chehalem Mountains,Paul Gregutt,Alloro 2013 Estate Chardonnay (Chehalem Mountains),Chardonnay,Alloro
Italy,90,45,Veneto,Amarone della Valpolicella Classico,Kerin O’Keefe,David Sterza 2011  Amarone della Valpolicella Classico,Red Blend,David Sterza
US,90,20,New York,Finger Lakes,Anna Lee C. Iijima,Shaw 2008 Sauvignon Blanc (Finger Lakes),Sauvignon Blanc,Shaw
US,92,68,California,Carneros,NA,Domaine Carneros 2006 The Famous Gate Pinot Noir (Carneros),Pinot Noir,Domaine Carneros
France,93,60,Champagne,Champagne,Roger Voss,Petit & Bajan 2011 Ambrosie Brut Grand Cru  (Champagne),Champagne Blend,Petit & Bajan
US,86,25,California,Livermore Valley,NA,Concannon 2007 Reserve Merlot (Livermore Valley),Merlot,Concannon
France,91,38,Bordeaux,Haut-Médoc,Roger Voss,Château Maurac 2014  Haut-Médoc,Bordeaux-style Red Blend,Château Maurac
Italy,91,128,Piedmont,Gattinara,Kerin O’Keefe,Travaglini 2010 Il Sogno  (Gattinara),Nebbiolo,Travaglini
US,92,110,California,Sonoma Valley,NA,Arrowood 2007 Reserve Speciale Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Arrowood
Italy,87,11,Central Italy,Montepulciano d'Abruzzo,NA,Caldora Vini 2011  Montepulciano d'Abruzzo,Montepulciano,Caldora Vini
US,86,24,California,Napa Valley,Virginie Boone,Treasure 2013 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Treasure
France,93,NA,Burgundy,Chablis,Roger Voss,Pascal Bouchard 2010 Blanchot Grand Cru  (Chablis),Chardonnay,Pascal Bouchard
Italy,86,NA,Tuscany,Rosso di Montalcino,Kerin O’Keefe,Solaria 2014  Rosso di Montalcino,Sangiovese,Solaria
US,91,18,Washington,Columbia Valley (WA),Paul Gregutt,Novelty Hill 2011 Stillwater Creek Vineyard Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,Novelty Hill
Spain,88,8,Central Spain,Vino de la Tierra de Castilla,Michael Schachner,Volteo 2006 Tempranillo + Shiraz Red (Vino de la Tierra de Castilla),Tempranillo Blend,Volteo
US,87,25,California,Carmel Valley,NA,Galante 2012 Estate Bottled Sauvignon Blanc (Carmel Valley),Sauvignon Blanc,Galante
US,87,60,California,Dry Creek Valley,NA,Dry Creek Vineyard 1997 Epoch II Millenium Cuvée Cabernet Sauvignon (Dry Creek Valley),Cabernet Sauvignon,Dry Creek Vineyard
Australia,85,20,Victoria,Yarra Valley,NA,Yering Station 2000 Chardonnay (Yarra Valley),Chardonnay,Yering Station
Spain,85,11,Central Spain,Valdepeñas,Michael Schachner,Viña Albali 2011 Crianza Tempranillo (Valdepeñas),Tempranillo,Viña Albali
Argentina,90,26,Mendoza Province,Mendoza,Michael Schachner,Bodega Norton 2014 Privada Red (Mendoza),Bordeaux-style Red Blend,Bodega Norton
France,94,NA,Burgundy,Nuits-St.-Georges,Roger Voss,Domaine Henri Gouges 2008 Les St.-Georges Premier Cru  (Nuits-St.-Georges),Pinot Noir,Domaine Henri Gouges
Italy,90,45,Piedmont,Moscato d'Asti,Kerin O’Keefe,Mongioia 2011 Crivella  (Moscato d'Asti),Moscato,Mongioia
US,87,17,New York,Finger Lakes,NA,Penguin Bay 2007 Gewürztraminer (Finger Lakes),Gewürztraminer,Penguin Bay
US,85,25,Oregon,Willamette Valley,Paul Gregutt,60 Souls 2014 Pinot Noir (Willamette Valley),Pinot Noir,60 Souls
US,92,44,Washington,Columbia Valley (WA),Paul Gregutt,Woodward Canyon 2005 Artist Series #14 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Woodward Canyon
France,93,55,Alsace,Alsace,Anne Krebiehl MW,Domaine Zind-Humbrecht 2014 Roche Calcaire Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht
US,87,34,California,Dry Creek Valley,NA,Collier Falls 2009 Primitivo (Dry Creek Valley),Primitivo,Collier Falls
US,86,30,California,Russian River Valley,NA,XYZin 2009 50 Year Old Vines Zinfandel (Russian River Valley),Zinfandel,XYZin
Italy,91,30,Central Italy,Verdicchio di Matelica,Kerin O’Keefe,La Monacesca 2013 Mirum Riserva  (Verdicchio di Matelica),Verdicchio,La Monacesca
US,88,25,California,Russian River Valley,Virginie Boone,Rock Wall 2014 Julie's Vineyard Zinfandel (Russian River Valley),Zinfandel,Rock Wall
Italy,91,32,Tuscany,Bolgheri,NA,Tenuta Argentiera 2008 Villa Donoratico  (Bolgheri),Red Blend,Tenuta Argentiera
Italy,89,50,Tuscany,Brunello di Montalcino,NA,Agostina Pieri 2007  Brunello di Montalcino,Sangiovese Grosso,Agostina Pieri
Spain,84,17,Northern Spain,Somontano,Michael Schachner,Bodega Otto Bestué 2007 Bestué de Otto Bestué Finca Rableros Tempranillo-Cabernet Sauvignon (Somontano),Tempranillo-Cabernet Sauvignon,Bodega Otto Bestué
Spain,93,69,Northern Spain,Ribera del Duero,Michael Schachner,García Figuero 2011 Viñas Viejas  (Ribera del Duero),Tempranillo,García Figuero
Spain,87,18,Catalonia,Cava,Michael Schachner,Sumarroca NV Yá Cuvée 23 Brut Rosé Sparkling (Cava),Sparkling Blend,Sumarroca
France,89,22,Loire Valley,Vouvray,Roger Voss,Vignoble Brisebarre 2009 Sec  (Vouvray),Chenin Blanc,Vignoble Brisebarre
France,85,15,Bordeaux,Bordeaux,Roger Voss,De Mour 2009 Duc de Rochebois  (Bordeaux),Bordeaux-style Red Blend,De Mour
US,88,10,California,California,Jim Gordon,Twin Arches 2010 Merlot (California),Merlot,Twin Arches
Argentina,87,16,Mendoza Province,Mendoza,Michael Schachner,Benegas 2011 La Encerrada Estate Vineyard Malbec (Mendoza),Malbec,Benegas
Portugal,86,28,Bairrada,NA,Roger Voss,Campolargo 2012 Branco Barrica Bical (Bairrada),Bical,Campolargo
Portugal,87,NA,Tejo,NA,Roger Voss,Caves Dom Teodosio 2013 Enigma Syrah (Tejo),Syrah,Caves Dom Teodosio
Argentina,88,19,Mendoza Province,La Consulta,Michael Schachner,Altocedro 2014 Año Cero Malbec (La Consulta),Malbec,Altocedro
Portugal,88,40,Douro,NA,Roger Voss,Quinta do Passadouro 2013 Passadouro Touriga Franca (Douro),Touriga Franca,Quinta do Passadouro
Spain,91,40,Catalonia,Priorat,Michael Schachner,Francesc Sanchez Bas 2006 Montgarnatx Red (Priorat),Red Blend,Francesc Sanchez Bas
US,88,22,California,Santa Ynez Valley,NA,Curtis 2012 Chardonnay (Santa Ynez Valley),Chardonnay,Curtis
Portugal,90,9,Vinho Verde,NA,Roger Voss,Aveleda 2014 Quinta da Aveleda Estate Bottled White (Vinho Verde),Portuguese White,Aveleda
Italy,87,13,Northeastern Italy,Trentino,Kerin O’Keefe,La Vis 2013 Simboli Riesling (Trentino),Riesling,La Vis
US,89,17,California,Santa Barbara,NA,Foley 2000 Sauvignon Blanc (Santa Barbara),Sauvignon Blanc,Foley
US,93,35,Oregon,Walla Walla Valley (OR),Paul Gregutt,Ellanelle 2009 Cabernet Sauvignon (Walla Walla Valley (OR)),Cabernet Sauvignon,Ellanelle
US,90,45,California,Napa Valley,Virginie Boone,29 & Oak Wines 2013 Proprietary Red (Napa Valley),Bordeaux-style Red Blend,29 & Oak Wines
US,86,14,California,California,NA,Francis Ford Coppola 2011 Votre Santé Pinot Noir (California),Pinot Noir,Francis Ford Coppola
